,cnn_intrsctn_fkey,cnn_sgmt_fkey,ped_action,number_injured,number_killed
0,23926000,,No Pedestrian Involved,1,0.0
1,23969000,,No Pedestrian Involved,1,0.0
2,22495000,5408000.0,Not in Road,1,0.0
3,24726000,9299000.0,Not Stated,1,0.0
4,23811000,179000.0,No Pedestrian Involved,1,0.0
5,25468000,4301000.0,No Pedestrian Involved,1,0.0
6,25967000,,No Pedestrian Involved,3,0.0
7,25940000,5883000.0,No Pedestrian Involved,1,0.0
8,25595000,,No Pedestrian Involved,1,0.0
9,25301000,11248000.0,No Pedestrian Involved,1,0.0
10,23555000,191101.0,No Pedestrian Involved,1,0.0
11,26634000,,"In Road, Including Shoulder",1,0.0
12,23673000,,Not Stated,1,0.0
13,24326000,6259000.0,No Pedestrian Involved,1,0.0
14,24781000,,Crossing in Crosswalk at Intersection,1,0.0
15,20410000,13331000.0,No Pedestrian Involved,1,0.0
16,25190000,13151201.0,No Pedestrian Involved,2,0.0
17,23834000,,No Pedestrian Involved,1,0.0
18,24237000,,No Pedestrian Involved,1,0.0
19,21491000,8506000.0,No Pedestrian Involved,1,0.0
20,27989000,2018000.0,No Pedestrian Involved,3,0.0
21,27966000,7549000.0,No Pedestrian Involved,1,0.0
22,24925000,12427000.0,No Pedestrian Involved,1,0.0
23,24572000,,No Pedestrian Involved,1,0.0
24,20364000,2445000.0,No Pedestrian Involved,1,0.0
25,20812000,2734000.0,No Pedestrian Involved,1,0.0
26,26811000,,"In Road, Including Shoulder",1,0.0
27,23535000,,No Pedestrian Involved,2,0.0
28,26614000,,No Pedestrian Involved,1,0.0
29,23888000,,Not in Road,1,0.0
30,24349000,,No Pedestrian Involved,1,0.0
31,24913000,,No Pedestrian Involved,1,0.0
32,20987000,,No Pedestrian Involved,1,0.0
33,25209000,,No Pedestrian Involved,1,0.0
34,24183000,,No Pedestrian Involved,1,0.0
35,23778000,,No Pedestrian Involved,1,0.0
36,20868000,,No Pedestrian Involved,1,0.0
37,27335000,914101.0,No Pedestrian Involved,2,0.0
38,23634000,,No Pedestrian Involved,3,0.0
